"Ref","Key","Value"
"e1cib/data/Catalog.IntegrationSettings?ref=b762b13668d0905011eb7663e35d7966","QueryType","POST"
"e1cib/data/Catalog.IntegrationSettings?ref=b762b13668d0905011eb7663e35d7966","ResourceAddress",""
"e1cib/data/Catalog.IntegrationSettings?ref=b762b13668d0905011eb7663e35d7966","Ip","localhost"
"e1cib/data/Catalog.IntegrationSettings?ref=b762b13668d0905011eb7663e35d7966","Port","8 080"
"e1cib/data/Catalog.IntegrationSettings?ref=b762b13668d0905011eb7663e35d7966","User",""
"e1cib/data/Catalog.IntegrationSettings?ref=b762b13668d0905011eb7663e35d7966","Password",""
"e1cib/data/Catalog.IntegrationSettings?ref=b762b13668d0905011eb7663e35d7966","Proxy",""
"e1cib/data/Catalog.IntegrationSettings?ref=b762b13668d0905011eb7663e35d7966","TimeOut","60"
"e1cib/data/Catalog.IntegrationSettings?ref=b762b13668d0905011eb7663e35d7966","SecureConnection",""
"e1cib/data/Catalog.IntegrationSettings?ref=b762b13668d0905011eb7663e35d7966","UseOSAuthentication","False"
"e1cib/data/Catalog.IntegrationSettings?ref=b762b13668d0905011eb7663e35d7966","Headers","Map"
"e1cib/data/Catalog.IntegrationSettings?ref=b762b13668d0905011eb7663e35d7967","QueryType","POST"
"e1cib/data/Catalog.IntegrationSettings?ref=b762b13668d0905011eb7663e35d7967","ResourceAddress",""
"e1cib/data/Catalog.IntegrationSettings?ref=b762b13668d0905011eb7663e35d7967","Ip","localhost"
"e1cib/data/Catalog.IntegrationSettings?ref=b762b13668d0905011eb7663e35d7967","Port","8 080"
"e1cib/data/Catalog.IntegrationSettings?ref=b762b13668d0905011eb7663e35d7967","User",""
"e1cib/data/Catalog.IntegrationSettings?ref=b762b13668d0905011eb7663e35d7967","Password",""
"e1cib/data/Catalog.IntegrationSettings?ref=b762b13668d0905011eb7663e35d7967","Proxy",""
"e1cib/data/Catalog.IntegrationSettings?ref=b762b13668d0905011eb7663e35d7967","TimeOut","60"
"e1cib/data/Catalog.IntegrationSettings?ref=b762b13668d0905011eb7663e35d7967","SecureConnection",""
"e1cib/data/Catalog.IntegrationSettings?ref=b762b13668d0905011eb7663e35d7967","UseOSAuthentication","False"
"e1cib/data/Catalog.IntegrationSettings?ref=b762b13668d0905011eb7663e35d7967","Headers","Map"
