"Ссылка","Товар","Цена","Количество","Сумма"
"e1cib/data/Документ.РасходТовара?ref=bbf30050ba5c887711e1fe6190994fe1","e1cib/data/Справочник.Товары?ref=8ca2000d8843cd1b11dc9111f169782e","35","300","10 500"
"e1cib/data/Документ.РасходТовара?ref=bbf30050ba5c887711e1fe6190994fe4","e1cib/data/Справочник.Товары?ref=8ca2000d8843cd1b11dc9111f169782e","40","300","12 000"
"e1cib/data/Документ.РасходТовара?ref=bbef0050ba5c887711e1fc040faf2b20","e1cib/data/Справочник.Товары?ref=a9b000055d49b45e11db8c51bbb079af","3 300","2","6 600"
"e1cib/data/Документ.РасходТовара?ref=bbf30050ba5c887711e1fe6190994fde","e1cib/data/Справочник.Товары?ref=8d3a000d8843cd1b11dd321ba7a30aaf","300","1","300"
"e1cib/data/Документ.РасходТовара?ref=bbf30050ba5c887711e1fe6190994fde","e1cib/data/Справочник.Товары?ref=8d40000d8843cd1b11dd3de2bb0c7537","4 500","2","9 000"
"e1cib/data/Документ.РасходТовара?ref=bbef0050ba5c887711e1fc040faf2b1d","e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db9744d21cfa17","2 500","2","5 000"
"e1cib/data/Документ.РасходТовара?ref=bbf30050ba5c887711e1fe6190994fd8","e1cib/data/Справочник.Товары?ref=a9b000055d49b45e11db8f55075b7a52","50","11","550"
"e1cib/data/Документ.РасходТовара?ref=bbf30050ba5c887711e1fe6190994fd8","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","250","10","2 500"
"e1cib/data/Документ.РасходТовара?ref=bbef0050ba5c887711e1fc040faf2b23","e1cib/data/Справочник.Товары?ref=8ca2000d8843cd1b11dc9111f169782e","30","50","1 500"
"e1cib/data/Документ.РасходТовара?ref=bbf30050ba5c887711e1fe6190994fda","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8cfecc6a7df4","30","12","360"
"e1cib/data/Документ.РасходТовара?ref=bbf30050ba5c887711e1fe6190994fdc","e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db9744d21cfa19","2 700","3","8 100"
"e1cib/data/Документ.РасходТовара?ref=bbef0050ba5c887711e1fc040faf2b0e","e1cib/data/Справочник.Товары?ref=a9b000055d49b45e11db90eb5198ae43","2 000","3","6 000"
"e1cib/data/Документ.РасходТовара?ref=bbef0050ba5c887711e1fc040faf2b0e","e1cib/data/Справочник.Товары?ref=a9b200055d49b45e11db9b1315c596e3","1 500","3","4 500"
"e1cib/data/Документ.РасходТовара?ref=bbef0050ba5c887711e1fc040faf2b14","e1cib/data/Справочник.Товары?ref=a9b000055d49b45e11db8c51bbb079af","3 500","2","7 000"
"e1cib/data/Документ.РасходТовара?ref=bbef0050ba5c887711e1fc040faf2b17","e1cib/data/Справочник.Товары?ref=a9c500055d49b45e11dbf348086715b1","15 000","1","15 000"
"e1cib/data/Документ.РасходТовара?ref=bbef0050ba5c887711e1fc040faf2b05","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8cfecc6a7df6","10 000","1","10 000"
"e1cib/data/Документ.РасходТовара?ref=bbef0050ba5c887711e1fc040faf2b11","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eacd471d6c7","2 500","5","12 500"
"e1cib/data/Документ.РасходТовара?ref=bbef0050ba5c887711e1fc040faf2b08","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","250","50","12 500"
"e1cib/data/Документ.РасходТовара?ref=bbef0050ba5c887711e1fc040faf2b0b","e1cib/data/Справочник.Товары?ref=8d40000d8843cd1b11dd3de2bb0c7537","4 500","1","4 500"
"e1cib/data/Документ.РасходТовара?ref=bbef0050ba5c887711e1fc040faf2b1a","e1cib/data/Справочник.Товары?ref=8ca2000d8843cd1b11dc9111f169782e","30","300","9 000"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f7e","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","8","2 000"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f7e","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","44","1 100"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f7e","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","8","2 640"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f7f","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","7","1 750"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f7f","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","10","250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f7f","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","5","1 650"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f80","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","2","500"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f80","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","38","950"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f80","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","6","1 980"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f81","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","11","2 750"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f81","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","2","50"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f81","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","2","660"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f82","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","4","1 000"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f82","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","7","175"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f82","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","4","1 320"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f83","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","19","4 750"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f83","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","11","275"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f83","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","4","1 320"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f84","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","5","1 250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f84","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","44","1 100"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f84","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","10","3 300"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f85","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","13","3 250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f85","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","8","200"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f85","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","2","660"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f86","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","9","2 250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f86","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","13","325"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f86","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","5","1 650"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f87","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","13","3 250"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f87","e1cib/data/Справочник.Товары?ref=8ca0000d8843cd1b11dc8d043d710077","25","1","25"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f87","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8ea92d97a749","330","2","660"
"e1cib/data/Документ.РасходТовара?ref=aaca086266c6d20f11e708bd6f432f88","e1cib/data/Справочник.Товары?ref=8ca1000d8843cd1b11dc8eb360f70b4d","250","5","1 250"
